# Alpha Deck — SIC description -> business-type leaf (the MONITOR taxonomy's main map).
#
# EDIT THIS FILE to change how a SIC industry classifies (see README.md in this folder).
# Rows are grouped by leaf for reading; group order carries NO meaning. Matching is
# whitespace-collapsed + case-insensitive, so reflowing spaces/case here is safe; the
# strings below are EDGAR sicDescription VERBATIM (including the SEC's own typos, e.g.
# "Transmisison", "Opeators", "of fices" — kept as-said, matched robustly).
# A live SIC string NOT in this file classifies as `other` (visible, never dropped).
# Per-name/per-string exceptions go in overrides.csv, NOT here (e.g. the ERII semicap
# exception). royalty=y marks a SIC that is royalty-by-definition (the overlay).
#
# columns:
sic_description,business_type,royalty
"Mortgage Bankers & Loan Correspondents",finance_brokers,
"Patent Owners & Lessors",finance_brokers,
"Personal Credit Institutions",finance_brokers,
"Short-Term Business Credit Institutions",finance_brokers,
"Surety Insurance",finance_brokers,
"Title Insurance",finance_brokers,
"Investors, NEC",finance_brokers,
"Accident & Health Insurance",finance_brokers,
"Federal & Federally-Sponsored Credit Agencies",finance_brokers,
"Miscellaneous Business Credit Institution",finance_brokers,

# --- SPAC (blank check)  ->  financials   (1 SIC strings · 132 master rows live) ---
"Blank Checks",spac,

# --- Semiconductors  ->  technology   (6 SIC strings · 142 master rows live) ---
"Semiconductors & Related Devices",semiconductors,
"Special Industry Machinery, NEC",semiconductors,
"Electronic Components, NEC",semiconductors,
"Printed Circuit Boards",semiconductors,
"Electronic Components & Accessories",semiconductors,
"Electronic Connectors",semiconductors,

# --- Software / IT  ->  technology   (16 SIC strings · 342 master rows live) ---
"Services-Prepackaged Software",software_it,
"Services-Computer Processing & Data Preparation",software_it,
"Services-Computer Programming, Data Processing, Etc.",software_it,
"Services-Computer Integrated Systems Design",software_it,
"Services-Computer Programming Services",software_it,
"Radio & Tv Broadcasting & Communications Equipment",software_it,
"Computer Communications Equipment",software_it,
"Computer Peripheral Equipment, NEC",software_it,
"Telephone & Telegraph Apparatus",software_it,
"Communications Equipment, NEC",software_it,
"Computer Storage Devices",software_it,
"Electronic Computers",software_it,
"Computer & office Equipment",software_it,
"Wholesale-Computers & Peripheral Equipment & Software",software_it,
"Calculating & Accounting Machines (No Electronic Computers)",software_it,
"Office Machines, NEC",software_it,

# --- Comms / Media  ->  consumer_comms   (15 SIC strings · 84 master rows live) ---
"Telephone Communications (No Radiotelephone)",comms_media,
"Radiotelephone Communications",comms_media,
"Communications Services, NEC",comms_media,
"Services-Advertising",comms_media,
"Cable & Other Pay Television Services",comms_media,
"Services-Motion Picture & Video Tape Production",comms_media,
"Television Broadcasting Stations",comms_media,
"Services-Advertising Agencies",comms_media,
"Newspapers: Publishing or  Publishing & Printing",comms_media,
"Books: Publishing or  Publishing & Printing",comms_media,
"Radio Broadcasting Stations",comms_media,
"Services-Allied To Motion Picture Production",comms_media,
"Telegraph & Other Message Communications",comms_media,
"Miscellaneous Publishing",comms_media,
"Services-Video Tape Rental",comms_media,

# --- Utilities  ->  energy_utilities   (9 SIC strings · 164 master rows live) ---
"Electric Services",utilities,
"Electric & Other Services Combined",utilities,
"Natural Gas Transmission",utilities,
"Natural Gas Distribution",utilities,
"Gas & Other Services Combined",utilities,
"Electric, Gas & Sanitary Services",utilities,
"Natural Gas Transmisison & Distribution",utilities,
"Water Supply",utilities,
"Sanitary Services",utilities,

# --- Oil & Gas  ->  energy_utilities   (10 SIC strings · 86 master rows live) ---
"Crude Petroleum & Natural Gas",oil_gas,
"Petroleum Refining",oil_gas,
"Oil & Gas Field Machinery & Equipment",oil_gas,
"Oil & Gas Field Services, NEC",oil_gas,
"Oil & Gas Field Exploration Services",oil_gas,
"Pipe Lines (No Natural Gas)",oil_gas,
"Drilling Oil & Gas Wells",oil_gas,
"Oil Royalty Traders",oil_gas,y
"Wholesale-Petroleum & Petroleum Products (No Bulk Stations)",oil_gas,
"Wholesale-Petroleum Bulk Stations & Terminals",oil_gas,

# --- Miner  ->  materials   (7 SIC strings · 89 master rows live) ---
"Metal Mining",miner,
"Gold and Silver Ores",miner,
"Miscellaneous Metal Ores",miner,
"Mining & Quarrying of  Nonmetallic Minerals (No Fuels)",miner,
"Bituminous Coal & Lignite Surface Mining",miner,
"Mineral Royalty Traders",miner,y
"Silver Ores",miner,

# --- Chemicals & Basic Materials  ->  materials   (30 SIC strings · 90 master rows live) ---
"Industrial Organic Chemicals",chemicals_materials,
"Plastic Materials, Synth Resins & Nonvulcan Elastomers",chemicals_materials,
"Steel Works, Blast Furnaces & Rolling Mills (Coke Ovens)",chemicals_materials,
"Industrial Inorganic Chemicals",chemicals_materials,
"Plastics Products, NEC",chemicals_materials,
"Chemicals & Allied Products",chemicals_materials,
"Miscellaneous Chemical Products",chemicals_materials,
"Cement, Hydraulic",chemicals_materials,
"Paints, Varnishes, Lacquers, Enamels & Allied Prods",chemicals_materials,
"Steel Works, Blast Furnaces & Rolling & Finishing Mills",chemicals_materials,
"Agricultural Chemicals",chemicals_materials,
"Fabricated Rubber Products, NEC",chemicals_materials,
"Paper Mills",chemicals_materials,
"Paperboard Containers & Boxes",chemicals_materials,
"Plastic Material, Synth Resin/Rubber, Cellulos (No Glass)",chemicals_materials,
"Primary Production of  Aluminum",chemicals_materials,
"Steel Pipe & Tubes",chemicals_materials,
"Abrasive, Asbestos & Misc Nonmetallic Mineral Prods",chemicals_materials,
"Concrete Products, Except Block & Brick",chemicals_materials,
"Converted Paper & Paperboard Prods (No Contaners/Boxes)",chemicals_materials,
"Gaskets, Packg & Sealg Devices & Rubber & Plastics Hose",chemicals_materials,
"Glass Containers",chemicals_materials,
"Miscellaneous Plastics Products",chemicals_materials,
"Nonferrous Foundries (Castings)",chemicals_materials,
"Plastics Foam Products",chemicals_materials,
"Pottery & Related Products",chemicals_materials,
"Primary Smelting & Refining of  Nonferrous Metals",chemicals_materials,
"Rolling Drawing & Extruding of  Nonferrous Metals",chemicals_materials,
"Tires & Inner Tubes",chemicals_materials,
"Unsupported Plastics Film & Sheet",chemicals_materials,

# --- Industrials / Machinery  ->  industrials   (50 SIC strings · 202 master rows live) ---
"Miscellaneous Electrical Machinery, Equipment & Supplies",industrials_machinery,
"Construction - Special Trade Contractors",industrials_machinery,
"Electrical Industrial Apparatus",industrials_machinery,
"General Industrial Machinery & Equipment, NEC",industrials_machinery,
"Misc Industrial & Commercial Machinery & Equipment",industrials_machinery,
"Heavy Construction Other Than Bldg Const - Contractors",industrials_machinery,
"Industrial Instruments For Measurement, Display, and Control",industrials_machinery,
"Instruments For Meas & Testing of  Electricity & Elec Signals",industrials_machinery,
"Measuring & Controlling Devices, NEC",industrials_machinery,
"Aircraft",industrials_machinery,
"Engines & Turbines",industrials_machinery,
"Fabricated Plate Work (Boiler Shops)",industrials_machinery,
"Air-Cond & Warm Air Heatg Equip & Comm & Indl Refrig Equip",industrials_machinery,
"Aircraft Parts & Auxiliary Equipment, NEC",industrials_machinery,
"Heating Equipment, Except Electric & Warm Air Furnaces",industrials_machinery,
"Optical Instruments & Lenses",industrials_machinery,
"Search, Detection, Navigation, Guidance, Aeronautical Sys",industrials_machinery,
"Drawing & Insulating of  Nonferrous Wire",industrials_machinery,
"Miscellaneous Manufacturing Industries",industrials_machinery,
"Pumps & Pumping Equipment",industrials_machinery,
"Ship & Boat Building & Repairing",industrials_machinery,
"Aircraft Engines & Engine Parts",industrials_machinery,
"Electric Lighting & Wiring Equipment",industrials_machinery,
"Electronic & Other Electrical Equipment (No Computer Equip)",industrials_machinery,
"Fabricated Structural Metal Products",industrials_machinery,
"General Industrial Machinery & Equipment",industrials_machinery,
"Metal Forgings & Stampings",industrials_machinery,
"Miscellaneous Fabricated Metal Products",industrials_machinery,
"Photographic Equipment & Supplies",industrials_machinery,
"Switchgear & Switchboard Apparatus",industrials_machinery,
"Construction, Mining & Materials Handling Machinery & Equip",industrials_machinery,
"Industrial & Commercial Fans & Blowers & Air Purifing Equip",industrials_machinery,
"Motors & Generators",industrials_machinery,
"Ordnance & Accessories, (No Vehicles/Guided Missiles)",industrials_machinery,
"Water, Sewer, Pipeline, Comm & Power Line Construction",industrials_machinery,
"Aircraft & Parts",industrials_machinery,
"Bolts, Nuts, Screws, Rivets & Washers",industrials_machinery,
"Coating, Engraving & Allied Services",industrials_machinery,
"Construction Machinery & Equip",industrials_machinery,
"Cutlery, Handtools & General Hardware",industrials_machinery,
"Electrical Work",industrials_machinery,
"Farm Machinery & Equipment",industrials_machinery,
"General Bldg Contractors - Nonresidential Bldgs",industrials_machinery,
"Guided Missiles & Space Vehicles & Parts",industrials_machinery,
"Metalworkg Machinery & Equipment",industrials_machinery,
"Printing Trades Machinery & Equipment",industrials_machinery,
"Railroad Equipment",industrials_machinery,
"Refrigeration & Service Industry Machinery",industrials_machinery,
"Special Industry Machinery (No Metalworking Machinery)",industrials_machinery,
"Totalizing Fluid Meters & Counting Devices",industrials_machinery,

# --- Transportation  ->  industrials   (14 SIC strings · 65 master rows live) ---
"Deep Sea Foreign Transportation of  Freight",transportation,
"Air Transportation, Scheduled",transportation,
"Water Transportation",transportation,
"Air Transportation, Nonscheduled",transportation,
"Arrangement of  Transportation of  Freight & Cargo",transportation,
"Railroads, Line-Haul Operating",transportation,
"Services-Auto Rental & Leasing (No Drivers)",transportation,
"Transportation Services",transportation,
"Air Courier Services",transportation,
"Airports, Flying Fields & Airport Terminal Services",transportation,
"Trucking (No Local)",transportation,
"Local & Suburban Transit & Interurban Hwy Passenger Trans",transportation,
"Public Warehousing & Storage",transportation,
"Trucking & Courier Services (No Air)",transportation,

# --- Consumer / Retail  ->  consumer_comms   (55 SIC strings · 202 master rows live) ---
"Services-Amusement & Recreation Services",consumer_retail,
"Retail-Catalog & Mail-Order Houses",consumer_retail,
"Services-Miscellaneous Amusement & Recreation",consumer_retail,
"Motor Vehicle Parts & Accessories",consumer_retail,
"Motor Vehicles & Passenger Car Bodies",consumer_retail,
"Retail-Eating  Places",consumer_retail,
"Services-Educational Services",consumer_retail,
"Beverages",consumer_retail,
"Hotels & Motels",consumer_retail,
"Retail-Auto Dealers & Gasoline Stations",consumer_retail,
"Retail-Retail Stores, NEC",consumer_retail,
"Food and Kindred Products",consumer_retail,
"Retail-Variety Stores",consumer_retail,
"Games, Toys & Children's Vehicles (No Dolls & Bicycles)",consumer_retail,
"Household Furniture",consumer_retail,
"Perfumes, Cosmetics & Other Toilet Preparations",consumer_retail,
"Retail-Apparel & Accessory Stores",consumer_retail,
"Services-Personal Services",consumer_retail,
"Agricultural Production-Crops",consumer_retail,
"Apparel & Other Finishd Prods of  Fabrics & Similar Matl",consumer_retail,
"Men's & Boys' Furnishgs, Work Clothg, & Allied Garments",consumer_retail,
"Retail-Grocery Stores",consumer_retail,
"Agricultural Services",consumer_retail,
"Cigarettes",consumer_retail,
"Household Audio & Video Equipment",consumer_retail,
"Leather & Leather Products",consumer_retail,
"Malt Beverages",consumer_retail,
"Retail-Computer & Computer Software Stores",consumer_retail,
"Retail-Department Stores",consumer_retail,
"Retail-Eating & Drinking Places",consumer_retail,
"Retail-Family Clothing Stores",consumer_retail,
"Retail-Miscellaneous Retail",consumer_retail,
"Retail-Miscellaneous Shopping Goods Stores",consumer_retail,
"Soap, Detergents, Cleang Preparations, Perfumes, Cosmetics",consumer_retail,
"Wood Household Furniture, (No Upholstered)",consumer_retail,
"Agricultural Prod-Livestock & Animal Specialties",consumer_retail,
"Bottled & Canned Soft Drinks & Carbonated Waters",consumer_retail,
"Dolls & Stuffed Toys",consumer_retail,
"Footwear, (No Rubber)",consumer_retail,
"Hotels, Rooming Houses, Camps & Other Lodging Places",consumer_retail,
"Household Appliances",consumer_retail,
"Retail-Auto & Home Supply Stores",consumer_retail,
"Retail-Building Materials, Hardware, Garden Supply",consumer_retail,
"Retail-Home Furniture, Furnishings & Equipment Stores",consumer_retail,
"Retail-Lumber & Other Building Materials Dealers",consumer_retail,
"Retail-Nonstore Retailers",consumer_retail,
"Retail-Radio, Tv & Consumer Electronics Stores",consumer_retail,
"Services-Racing, Including Track Operation",consumer_retail,
"Specialty Cleaning, Polishing and Sanitation Preparations",consumer_retail,
"Sporting & Athletic Goods, NEC",consumer_retail,
"Tobacco Products",consumer_retail,
"Watches, Clocks, Clockwork Operated Devices/Parts",consumer_retail,
"Wholesale-Apparel, Piece Goods & Notions",consumer_retail,
"Wholesale-Groceries & Related Products",consumer_retail,
"Wholesale-Jewelry, Watches, Precious Stones & Metals",consumer_retail,

# --- Business Services  ->  industrials   (31 SIC strings · 114 master rows live) ---
"Services-Business Services, NEC",business_services,
"Services-Management Consulting Services",business_services,
"Wholesale-Electronic Parts & Equipment, NEC",business_services,
"Wholesale-Lumber & Other Construction Materials",business_services,
"Services-Detective, Guard & Armored Car Services",business_services,
"Services-Equipment Rental & Leasing, NEC",business_services,
"Services-Help Supply Services",business_services,
"Services-Miscellaneous Business Services",business_services,
"Hazardous Waste Management",business_services,
"Refuse Systems",business_services,
"Services-Consumer Credit Reporting, Collection Agencies",business_services,
"Services-Engineering Services",business_services,
"Services-Engineering, Accounting, Research, Management",business_services,
"Services-Miscellaneous Equipment Rental & Leasing",business_services,
"Services-Miscellaneous Repair Services",business_services,
"Services-Testing Laboratories",business_services,
"Services-To Dwellings & Other Buildings",business_services,
"Wholesale-Metals & Minerals (No Petroleum)",business_services,
"Services-Employment Agencies",business_services,
"Services-Facilities Support Management Services",business_services,
"Services-Mailing, Reproduction, Commercial Art & Photography",business_services,
"Wholesale-Chemicals & Allied Products",business_services,
"Wholesale-Durable Goods",business_services,
"Wholesale-Durable Goods, NEC",business_services,
"Wholesale-Electrical Apparatus & Equipment, Wiring Supplies",business_services,
"Wholesale-Hardware",business_services,
"Wholesale-Industrial Machinery & Equipment",business_services,
"Wholesale-Machinery, Equipment & Supplies",business_services,
"Wholesale-Metals Service Centers & of fices",business_services,
"Wholesale-Miscellaneous Nondurable Goods",business_services,
"Wholesale-Motor Vehicle Supplies & New Parts",business_services,

# --- Real Estate / REIT  ->  real_estate   (9 SIC strings · 85 master rows live) ---
"Real Estate Investment Trusts",real_estate,
"Real Estate Agents & Managers (For Others)",real_estate,
"Real Estate",real_estate,
"Opeators of  Nonresidential Buildings",real_estate,
"Operative Builders",real_estate,
"Real Estate Operators (No Developers) & Lessors",real_estate,
"General Bldg Contractors - Residential Bldgs",real_estate,
"Land Subdividers & Developers (No Cemeteries)",real_estate,
"Lessors of  Real Property, NEC",real_estate,
